id,title,desc,img_url,found,desc_temp,keywords
25,Cotton Matka Embroidery Fabric,Seagreen Matka silk with white small floral embroidery spread apart,./images/askdevi_filename_0.jpg,y,"['Seagreen', 'Matka', 'silk', 'with', 'white', 'small', 'floral', 'embroidery', 'spread', 'apart']",seagreen matka silk white floral embroidery spread apart
43,Georgette Luckhnowi Embroidery Fabric,Aqua Blue georgette heavy embroidery in lighter blue,./images/askdevi_filename_2.jpg,y,"['Aqua', 'Blue', 'georgette', 'heavy', 'embroidery', 'in', 'lighter', 'blue']",aqua blue georgette heavy embroidery lighter blue
44,Georgette Luckhnowi Embroidery Fabric,Sage Green georgette heavy embroidery in lighter green,./images/askdevi_filename_3.jpg,y,"['Sage', 'Green', 'georgette', 'heavy', 'embroidery', 'in', 'lighter', 'green']",sage green georgette heavy embroidery lighter green
51,Georgette Luckhnowi Embroidery Fabric,Light Aqua Blue georgette heavy embroidery in lighter blue,./images/askdevi_filename_4.jpg,y,"['Light', 'Aqua', 'Blue', 'georgette', 'heavy', 'embroidery', 'in', 'lighter', 'blue']",light aqua blue georgette heavy embroidery lighter blue
54,Georgette Luckhnowi Embroidery Fabric,Baby Pink georgette heavy embroidery in lighter pink,./images/askdevi_filename_5.jpg,y,"['Baby', 'Pink', 'georgette', 'heavy', 'embroidery', 'in', 'lighter', 'pink']",baby pink georgette heavy embroidery lighter pink
57,Georgette Luckhnowi Embroidery Fabric,Beige georgette  heavy embroidery in off white ,./images/askdevi_filename_6.jpg,y,"['Beige', 'georgette', 'heavy', 'embroidery', 'in', 'off', 'white']",beige georgette heavy embroidery white
60,Georgette Luckhnowi Embroidery Fabric,Taupe  georgette  heavy embroidery in off white ,./images/askdevi_filename_7.jpg,y,"['Taupe', 'georgette', 'heavy', 'embroidery', 'in', 'off', 'white']",taupe georgette heavy embroidery white
87,Modal Satin Printed Fabric,"Gray, orange, white, brown and sea green printed Satin linen",./images/askdevi_filename_8.jpg,y,"['Gray,', 'orange,', 'white,', 'brown', 'and', 'sea', 'green', 'printed', 'Satin', 'linen']",brown sea green printed satin linen
113,Linen Embroidery Fabric,Gray body with pink and green embroidery Linen ,./images/askdevi_filename_9.jpg,y,"['Gray', 'body', 'with', 'pink', 'and', 'green', 'embroidery', 'Linen']",gray body pink green embroidery linen
116,Benarsi Dupion Silk Brocade Fabric,"Plum, purple with  gold small flower brocade benarsi dupion silk",./images/askdevi_filename_10.jpg,y,"['Plum,', 'purple', 'with', 'gold', 'small', 'flower', 'brocade', 'benarsi', 'dupion', 'silk']",purple gold flower brocade benarsi dupion silk
118,Dupion Silk Zari Brocade Fabric,Red with gold leaf zari brocade  silk ,./images/askdevi_filename_11.jpg,y,"['Red', 'with', 'gold', 'leaf', 'zari', 'brocade', 'silk']",red gold leaf zari brocade silk
120,Dupion Silk Zari Brocade Fabric,Navy blue with gold leaf zari brocade  silk ,./images/askdevi_filename_12.jpg,y,"['Navy', 'blue', 'with', 'gold', 'leaf', 'zari', 'brocade', 'silk']",navy blue gold leaf zari brocade silk
122,Ektara Brocade Fabric,Black with gold brocade on silk ,./images/askdevi_filename_13.jpg,y,"['Black', 'with', 'gold', 'brocade', 'on', 'silk']",black gold brocade silk
124,Benarsi Brocade Fabric,Salmon Pink and maroonand gold  brocade on benarsi silk ,./images/askdevi_filename_14.jpg,y,"['Salmon', 'Pink', 'and', 'maroonand', 'gold', 'brocade', 'on', 'benarsi', 'silk']",salmon pink maroonand gold brocade benarsi silk
126,Benarsi Brocade Fabric,Sunshine yellow with maroon and gold brocade on benarsi silk,./images/askdevi_filename_15.jpg,y,"['Sunshine', 'yellow', 'with', 'maroon', 'and', 'gold', 'brocade', 'on', 'benarsi', 'silk']",sunshine yellow maroon gold brocade benarsi silk
128,Katan Silk Brocade Fabric,Lotus Pink with mutted gold brocade on katan silk ,./images/askdevi_filename_16.jpg,y,"['Lotus', 'Pink', 'with', 'mutted', 'gold', 'brocade', 'on', 'katan', 'silk']",lotus pink mutted gold brocade katan silk
130,Katan Silk Brocade Fabric,Sea Green with mutted gold brocade on katan silk ,./images/askdevi_filename_17.jpg,y,"['Sea', 'Green', 'with', 'mutted', 'gold', 'brocade', 'on', 'katan', 'silk']",sea green mutted gold brocade katan silk
132,Katan Silk Brocade Fabric,Bright Lemon Yellow with mutted gold brocade on katan silk ,./images/askdevi_filename_18.jpg,y,"['Bright', 'Lemon', 'Yellow', 'with', 'mutted', 'gold', 'brocade', 'on', 'katan', 'silk']",bright lemon yellow mutted gold brocade katan silk
134,Benarsi Resham Brocade Fabric,Taupe with pink  and  white silk thread brocade on silk,./images/askdevi_filename_19.jpg,y,"['Taupe', 'with', 'pink', 'and', 'white', 'silk', 'thread', 'brocade', 'on', 'silk']",taupe pink white silk thread brocade silk
